# Licence Number | Name | Branch | Trustee 1 | Trustee 2 | Note

# 6M Repeaters
244213,Nelson Grampians,26,,,
221396,"Wairarapa APRS",46,"ZL2BA","ZL4JS",
221246,"Murchison APRS",26,"ZL2BCA","ZL2RP",
221145,Marlborough APRS,22,ZL2BK,ZL2BJV,
221142,Kaikoura APRS,22,ZL2BK,ZL2BJV,
176536,"Christchurch APRS",5,ZL3RX,ZL3VP,
175652,"Timaru APRS",34,"ZL3GL","ZL3OZ",
228051,"Taumarunui APRS",60,ZL1UTH,ZL1BU,
224689,"Gisborne APRS",11,"ZL2TRG","ZL2HC",
234904,Ngaio APRS,74,ZL2BEZ,ZL3TC,
242600,Dunedin APRS,30,,,
249831,Rotorua APRS,33,,,
209773,"North Shore",29,"ZL1AUW","ZL1TGC",
209786,"Te Puke",53,"ZL1MOF",,
207996,"Hamilton",12,"ZL1PK","ZL1GWP",
116673,"Waitomo",81,"ZL1GWP","ZL1AMW",
104127,"Kapiti",69,"ZL2GO","ZL4VV",
161728,"Greymouth",,"ZL3TY","ZL3ADH",
102079,"Timaru",34,"ZL3GL","ZL3OZ",
101942,"Gore",8,"ZL4TCS","ZL4GL",
220631,"Innes Road Data",,"ZL3BCC",,
217242,"North Shore (9k6)",29,"ZL1AUW","ZL1TGC",
209772,"North Shore (1k2)",29,"ZL1AUW","ZL1TGC",
222944,"Auckland D-Star Voice",86,"ZL1WOT","ZL1BFB","D-Star Voice"
222945,"Auckland D-Star Voice",86,"ZL1WOT","ZL1BFB","D-Star Voice"
222946,"Auckland D-Star Data",86,"ZL1WO","ZL1BFB","D-Star Data"
235500,Collingwood APRS,,ZL2BVO,,Privately Licenced
236295,Timaru APRS,34,ZL3OZ,ZL3GL,
236722,Kapiti APRS,69,ZL2GO,ZL4VV,
224637,Te Ahioteatua APRS,13,ZL2AJ,ZL2DW,
224739,Neleson APRS,26,ZL2BCA,ZL2RP,
225647,Te Awaputahi APRS,13,ZL2AJ,ZL2DW,
226413,Pukemoremore APRS,,ZL1KM,,
228788,Makatiti APRS,33,ZL1PJ,ZL1BWC,
231658,Kauahei APRS,,ZL2AJ,,
232950,Taihape APRS,20,,,
207807,Hamilton,81,,,
228226,Hamilton,81,,,
245107,Rotorua,33,,,
264784,AIRSTRIP HILL IWITAUA RD,,,,Privately Licenced
270636,Colonial Knob,,ZL4JY,,
272570,Takaurunga APRS,,ZL2AJ,,Privately Licenced
277822,Christchurch APRS,05,,,
